sweep,rg_adh,fh_adh,d_topcat,adherence_ls,loo_mu,loo_lo,loo_hi,loo_width,loo_inside,n_violations
sweep1_rg,0.200000,0.900000,1.563023,0.325123,-0.136323,-0.261469,-0.011178,0.250291,True,0
sweep1_rg,0.300000,0.900000,1.563023,0.340618,-0.135648,-0.260932,-0.010365,0.250567,True,0
sweep1_rg,0.400000,0.900000,1.563023,0.360557,-0.134654,-0.260195,-0.009112,0.251083,True,0
sweep1_rg,0.500000,0.900000,1.563023,0.387917,-0.133099,-0.259174,-0.007024,0.252150,True,0
sweep1_rg,0.600000,0.900000,1.563023,0.429492,-0.130435,-0.257779,-0.003092,0.254686,True,0
sweep1_rg,0.700000,0.900000,1.563023,0.504017,-0.125155,-0.256287,0.005976,0.262262,True,0
sweep2_fh,0.400000,0.700000,1.563023,0.360557,-0.070346,-0.238216,0.097523,0.335739,True,0
sweep2_fh,0.400000,0.800000,1.563023,0.360557,-0.123811,-0.248716,0.001095,0.249811,True,0
sweep2_fh,0.400000,0.850000,1.563023,0.360557,-0.138453,-0.263358,-0.013548,0.249810,True,0
sweep2_fh,0.400000,0.900000,1.563023,0.360557,-0.134654,-0.260195,-0.009112,0.251083,True,0
sweep2_fh,0.400000,0.950000,1.563023,0.360557,-0.115852,-0.259157,0.027453,0.286610,True,0
